class,family,genus,species,subSpecies,scientificName,CW,WI,CS,CE,AW,AN,CC,HL,EP,GW,GE,Ic,FN,SF,KP,UN,YG,Tm,Ao,Kh,YK,A,B,C,D,E,N,arcticOccurence,arcticEndemicSpeciesAE,borderline,introduced,naturalized,nonNativeStableCasual,stableCasual,nativeCasual,paf,genusCount,familyCount
Angiospermae,Caryophyllaceae,Eremogone,polaris,"",Eremogone polaris ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,r,f,r,-,r,-,-,-,R,F,F,S,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Eremogone,tschuktschorum,"",Eremogone tschuktschorum ,f,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,F,F,R,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Moehringia,"","",Moehringia  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4210,"",""
Angiospermae,Caryophyllaceae,Moehringia,lateriflora,"",Moehringia lateriflora ,s,-,r,s,f,s,r,r,-,-,-,-,r,-,s,s,s,r,-,-,r,-,-,-,?,S,F,1,"","","","","","","","",2,""
Angiospermae,Caryophyllaceae,Moehringia,macrophylla,"",Moehringia macrophylla ,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Spergularia,"","",Spergularia  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4211,"",""
Angiospermae,Caryophyllaceae,Spergularia,salina,"",Spergularia salina ,-,-,-,-,-,-,-,r,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",3,""
Angiospermae,Caryophyllaceae,Spergularia,canadensis,"",Spergularia canadensis ,-,-,-,-,-,-,r,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Spergularia,rubra,"",Spergularia rubra ,-,-,-,-,-,-,-,-,-,*,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,*,S,1,"","",1,"","","","","","",""
Angiospermae,Caryophyllaceae,Silene,"","",Silene  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4212,"",""
Angiospermae,Caryophyllaceae,Silene,tatarica,"",Silene tatarica ,-,-,-,-,-,-,-,-,-,-,-,-,r,-,r,r,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","",24,""
Angiospermae,Caryophyllaceae,Silene,paucifolia,"",Silene paucifolia ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,s,r,s,s,f,-,-,-,?,S,S,S,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,stenophylla,"",Silene stenophylla ,f,-,r,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,r,-,-,?,F,F,F,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,repens,"",Silene repens ,f,s,-,-,r,f,r,-,-,-,-,-,-,-,r,r,-,r,-,s,-,-,-,?,S,F,F,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,polaris,"",Silene polaris ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,b,-,-,-,-,-,-,-,b,R,1,"",1,"","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,vulgaris ,vulgaris,Silene vulgaris  vulgaris,-,-,-,-,-,-,-,-,-,**,-,-,*,-,*,*,-,**,-,-,-,-,-,-,-,*,*,1,"","","","",1,"","","","",""
Angiospermae,Caryophyllaceae,Silene,uniflora ,uniflora,Silene uniflora  uniflora,-,-,-,-,-,-,-,-,-,-,-,f,s,-,-,-,-,-,-,-,-,-,-,-,-,F,F,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,dioica,"",Silene dioica ,-,-,-,-,-,-,-,-,-,-,-,*,s,-,-,-,-,-,-,-,-,-,-,-,-,S,F,1,"","","",1,"","","","","",""
Angiospermae,Caryophyllaceae,Silene,linnaeana,"",Silene linnaeana ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,b,S,1,"",1,"","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,samojedora,"",Silene samojedora ,r,-,-,-,-,-,-,-,-,-,-,-,-,-,r,r,r,r,r,s,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,villosula,"",Silene villosula ,r,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,r,r,r,-,-,?,R,R,R,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,wahlbergella,"",Silene wahlbergella ,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,uralensis coll.,"",Silene uralensis coll. ,f,f,?,f,s,f,f,f,f,s,s,-,-,f,r,f,s,f,s,f,s,S,F,F,F,F,S,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,uralensis,uralensis,Silene uralensis uralensis,?,-,?,f,f,f,s,s,-,s,r,-,-,-,r,s,s,?,s,f,?,-,-,-,R,F,F,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,uralensis,arctica,Silene uralensis arctica,f,f,?,?,-,r,f,f,f,s,s,-,-,f,-,s,?,?,?,?,?,S,F,F,S,R,-,1,1,"","","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,violascens,"",Silene violascens ,?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,r,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,soczavana var. macrosperma,"",Silene soczavana var. macrosperma ,r,-,r,s,s,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,R,S,F,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,involucrata coll.,"",Silene involucrata coll. ,f,r,?,s,s,f,f,f,s,f,f,-,r,s,f,f,s,f,s,f,r,R,F,F,F,F,F,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,involucrata,involucrata,Silene involucrata involucrata,?,?,?,?,s,s,r,-,-,-,-,-,-,-,r,r,?,r,r,r,?,-,-,?,S,S,S,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,involucrata,tenella,Silene involucrata tenella,-,-,-,-,-,-,-,-,-,-,-,-,r,-,f,s,r,r,-,-,-,-,-,?,S,F,F,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,involucrata,furcata,Silene involucrata furcata,f,r,?,s,s,f,f,f,s,f,f,-,-,s,-,s,s,f,s,f,r,R,F,F,F,F,R,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,sorensenis,"",Silene sorensenis ,-,r,-,?,-,-,r,r,f,f,f,-,-,-,-,-,-,?,-,-,-,R,F,F,F,S,-,1,1,"","","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,ostenfeldii,"",Silene ostenfeldii ,X,?,-,-,r,r,s,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,R,S,S,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Silene,acaulis,"",Silene acaulis ,s,-,r,f,s,f,f,f,f,f,f,f,f,f,s,f,r,-,-,-,-,S,F,F,F,F,F,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Viscaria,"","",Viscaria  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4213,"",""
Angiospermae,Caryophyllaceae,Viscaria,alpina,"",Viscaria alpina ,-,-,-,-,-,-,-,r,-,f,f,f,s,-,r,r,-,-,-,-,-,-,-,S,F,F,F,1,"","","","","","","","",1,""
Angiospermae,Caryophyllaceae,Gypsophila,"","",Gypsophila  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4214,"",""
Angiospermae,Caryophyllaceae,Gypsophila,uralensis,"",Gypsophila uralensis ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",2,""
Angiospermae,Caryophyllaceae,Gypsophila,sambukii,"",Gypsophila sambukii ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,r,s,r,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Caryophyllaceae,Dianthus,"","",Dianthus  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4215,"",""
Angiospermae,Caryophyllaceae,Dianthus,repens,"",Dianthus repens ,f,-,r,-,r,s,-,-,-,-,-,-,-,-,s,s,s,s,r,f,r,-,-,-,R,F,F,1,"","","","","","","","",2,""
Angiospermae,Caryophyllaceae,Dianthus,superbus,"",Dianthus superbus ,-,-,-,-,-,-,-,-,-,-,-,-,f,-,f,s,r,-,-,*,-,-,-,-,R,F,F,1,"","","","","","","","","",""
Angiospermae,Amaranthaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",19
Angiospermae,Amaranthaceae,Chenopodium,"","",Chenopodium  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4301,"",""
Angiospermae,Amaranthaceae,Chenopodium,album,"",Chenopodium album ,-,-,-,**,-,**,-,**,-,*,-,*,**,**,**,**,-,-,-,**,-,-,-,**,**,*,S,1,"","","","",1,"","","",6,""
Angiospermae,Amaranthaceae,Chenopodium,karoi,"",Chenopodium karoi ,r,-,r,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,r,r,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Amaranthaceae,Chenopodium,jenissejense,"",Chenopodium jenissejense ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,r,r,-,-,-,-,-,-,-,R,R,1,"","","","","","","","","",""
Angiospermae,Amaranthaceae,Chenopodium,capitatum,"",Chenopodium capitatum ,-,-,-,-,-,-,*,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,S,1,"","",1,"","","","","","",""
Angiospermae,Amaranthaceae,Chenopodium,salinum,"",Chenopodium salinum ,-,-,-,-,-,-,r,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Amaranthaceae,Chenopodium,rubrum,"",Chenopodium rubrum ,-,-,-,-,*,*,-,*,-,-,-,-,-,-,**,**,-,-,-,-,-,-,-,-,-,*,S,1,"","","","",1,"","","","",""
Angiospermae,Amaranthaceae,Atriplex,"","",Atriplex  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4302,"",""
Angiospermae,Amaranthaceae,Atriplex,prostrata ,prostrata,Atriplex prostrata  prostrata,-,-,-,-,-,-,-,-,-,**,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","",1,"",5,""
Angiospermae,Amaranthaceae,Atriplex,glabriuscula,"",Atriplex glabriuscula ,-,-,-,-,-,-,-,?,-,?,-,f,s,?,-,-,-,-,-,-,-,-,-,-,-,S,F,1,"","","","","","","","","",""
Angiospermae,Amaranthaceae,Atriplex,longipes,praecox,Atriplex longipes praecox,-,-,-,-,-,-,-,-,-,r,-,-,s,?,-,-,-,-,-,-,-,-,-,-,-,S,F,1,"","","","","","","","","",""
Angiospermae,Amaranthaceae,Atriplex,lapponica,"",Atriplex lapponica ,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,R,R,1,"","","","","","","","","",""
Angiospermae,Amaranthaceae,Atriplex,gmelinii ,gmelinii,Atriplex gmelinii  gmelinii,r,-,-,r,r,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Amaranthaceae,Corispermum,"","",Corispermum  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4303,"",""
Angiospermae,Amaranthaceae,Corispermum,crassifolium,"",Corispermum crassifolium ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,r,-,-,-,-,-,-,R,R,1,"","","","","","","","",2,""
Angiospermae,Amaranthaceae,Corispermum,ochotense,"",Corispermum ochotense ,-,-,-,-,r,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Amaranthaceae,Monolepis,"","",Monolepis  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4304,"",""
Angiospermae,Amaranthaceae,Monolepis,nuttalliana,"",Monolepis nuttalliana ,-,-,-,-,-,r,?,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","",2,""
Angiospermae,Amaranthaceae,Monolepis,asiatica,"",Monolepis asiatica ,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,?,r,r,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Amaranthaceae,Salicornia,"","",Salicornia  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4305,"",""
Angiospermae,Amaranthaceae,Salicornia,rubra,"",Salicornia rubra ,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","",2,""
Angiospermae,Amaranthaceae,Salicornia,dolichostachya,pojarkovae,Salicornia dolichostachya pojarkovae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,b,S,1,"",1,"","","","","","","",""
Angiospermae,Amaranthaceae,Suaeda,"","",Suaeda  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4306,"",""
Angiospermae,Amaranthaceae,Suaeda,maritima,"",Suaeda maritima ,r,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",2,""
Angiospermae,Amaranthaceae,Suaeda,calceoliformis,"",Suaeda calceoliformis ,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Montiaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10
Angiospermae,Montiaceae,Claytonia,"","",Claytonia  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4401,"",""
Angiospermae,Montiaceae,Claytonia,tuberosa,"",Claytonia tuberosa ,s,-,s,f,f,r,-,-,-,-,-,-,-,-,-,-,-,r,r,r,-,-,-,-,R,S,S,1,"","","","","","","","",8,""
Angiospermae,Montiaceae,Claytonia,multiscapa,czukczorum,Claytonia multiscapa czukczorum,r,-,-,r,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,R,1,"","","","","","","","","",""
Angiospermae,Montiaceae,Claytonia,acutifolia,"",Claytonia acutifolia ,s,r,f,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,r,-,-,?,F,F,F,1,"","","","","","","","","",""
Angiospermae,Montiaceae,Claytonia,eschscholtzii,"",Claytonia eschscholtzii ,-,-,-,f,s,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,F,F,1,"","","","","","","","","",""
Angiospermae,Montiaceae,Claytonia,joanneana,"",Claytonia joanneana ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Montiaceae,Claytonia,arctica,"",Claytonia arctica ,s,f,r,s,r,-,-,-,-,-,-,-,-,-,-,-,-,?,r,f,r,-,-,R,S,S,R,1,"","","","","","","","","",""
Angiospermae,Montiaceae,Claytonia,scammaniana,"",Claytonia scammaniana ,-,-,-,-,r,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,1,"","","","","","","","","",""
Angiospermae,Montiaceae,Claytonia,sarmentosa,"",Claytonia sarmentosa ,-,-,-,f,f,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,F,F,F,1,"","","","","","","","","",""
Angiospermae,Montiaceae,Claytoniella,"","",Claytoniella  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4402,"",""
Angiospermae,Montiaceae,Claytoniella,vassilievii,"",Claytoniella vassilievii ,-,r,r,r,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,R,R,1,"","","","","","","","",1,""
Angiospermae,Montiaceae,Montia,"","",Montia  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4403,"",""
Angiospermae,Montiaceae,Montia,fontana ,fontana,Montia fontana  fontana,r,-,?,s,s,r,r,s,-,f,r,f,f,-,r,r,-,-,-,r,-,-,-,?,S,F,F,1,"","","","","","","","",1,""
Angiospermae,Santalaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
Angiospermae,Santalaceae,Geocaulon,"","",Geocaulon  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4501,"",""
Angiospermae,Santalaceae,Geocaulon,lividum,"",Geocaulon lividum ,-,-,-,-,b,r,r,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",1,""
Angiospermae,Paeoniaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
Angiospermae,Paeoniaceae,Paeonia,"","",Paeonia  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4601,"",""
Angiospermae,Paeoniaceae,Paeonia,anomala,"",Paeonia anomala ,-,-,-,-,-,-,-,-,-,-,-,-,r,-,r,r,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",1,""
Angiospermae,Crassulaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9
Angiospermae,Crassulaceae,Rhodiola,"","",Rhodiola  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4702,"",""
Angiospermae,Crassulaceae,Rhodiola,rosea,"",Rhodiola rosea ,f,f,f,f,?,-,r,r,-,f,f,f,f,r,f,f,r,s,-,f,s,-,-,S,F,F,F,1,"","","","","","","","",3,""
Angiospermae,Crassulaceae,Rhodiola,integrifolia,"",Rhodiola integrifolia ,f,-,s,f,f,s,?,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,R,F,F,1,"","","","","","","","","",""
Angiospermae,Crassulaceae,Rhodiola,quadrifida,"",Rhodiola quadrifida ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,S,S,1,"","","","","","","","","",""
Angiospermae,Crassulaceae,Hylotelephium,"","",Hylotelephium  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4703,"",""
Angiospermae,Crassulaceae,Hylotelephium,telephium,"",Hylotelephium telephium ,r,-,b,-,-,-,-,-,-,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","",1,"","","","",1,""
Angiospermae,Crassulaceae,Phedimus,"","",Phedimus  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4704,"",""
Angiospermae,Crassulaceae,Phedimus,kamtschaticus,"",Phedimus kamtschaticus ,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","",2,""
Angiospermae,Crassulaceae,Phedimus,middendorffianus,"",Phedimus middendorffianus ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,b,S,1,"",1,"","","","","","","",""
Angiospermae,Crassulaceae,Sedum,"","",Sedum  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4705,"",""
Angiospermae,Crassulaceae,Sedum,acre,"",Sedum acre ,-,-,-,-,-,-,-,-,-,-,r,f,s,-,-,-,-,-,-,-,-,-,-,-,R,F,F,1,"","","","","","","","",3,""
Angiospermae,Crassulaceae,Sedum,annuum,"",Sedum annuum ,-,-,-,-,-,-,-,-,-,s,s,s,r,-,-,-,-,-,-,-,-,-,-,-,S,S,F,1,"","","","","","","","","",""
Angiospermae,Crassulaceae,Sedum,villosum ,villosum,Sedum villosum  villosum,-,-,-,-,-,-,-,-,-,f,s,f,r,-,-,-,-,-,-,-,-,-,-,R,F,F,F,1,"","","","","","","","","",""
Angiospermae,Haloragaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3
Angiospermae,Haloragaceae,Myriophyllum,"","",Myriophyllum  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4801,"",""
Angiospermae,Haloragaceae,Myriophyllum,alterniflorum,"",Myriophyllum alterniflorum ,-,-,-,-,-,-,r,-,-,s,r,f,s,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",3,""
Angiospermae,Haloragaceae,Myriophyllum,verticillatum,"",Myriophyllum verticillatum ,r,-,X,-,r,r,r,?,-,-,-,-,?,-,?,r,r,r,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Haloragaceae,Myriophyllum,sibiricum,"",Myriophyllum sibiricum ,X,-,-,X,r,r,r,s,-,r,-,r,r,-,s,X,r,r,-,-,r,-,-,-,R,F,F,1,"","","","","","","","","",""
Angiospermae,Grossulariaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10
Angiospermae,Grossulariaceae,Ribes,"","",Ribes  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4901,"",""
Angiospermae,Grossulariaceae,Ribes,spicatum,lapponicum,Ribes spicatum lapponicum,-,-,-,-,-,-,-,-,-,-,-,-,r,-,s,s,r,r,-,-,-,-,-,-,-,S,F,1,"","","","","","","","",10,""
Angiospermae,Grossulariaceae,Ribes,spicatum,hispidulum,Ribes spicatum hispidulum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,r,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Grossulariaceae,Ribes,triste,"",Ribes triste ,f,-,s,s,s,r,s,r,-,-,-,-,-,-,-,-,-,r,r,s,r,-,-,-,R,S,F,1,"","","","","","","","","",""
Angiospermae,Grossulariaceae,Ribes,nigrum,"",Ribes nigrum ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,r,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Grossulariaceae,Ribes,dikuscha,"",Ribes dikuscha ,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,R,1,"","",1,"","","","","","",""
Angiospermae,Grossulariaceae,Ribes,glandulosum,"",Ribes glandulosum ,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Grossulariaceae,Ribes,hudsonianum,"",Ribes hudsonianum ,-,-,-,-,b,r,r,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","","",""
Angiospermae,Grossulariaceae,Ribes,oxyacanthoides,"",Ribes oxyacanthoides ,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Grossulariaceae,Ribes,hirtellum,"",Ribes hirtellum ,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,S,1,"",1,"","","","","","","",""
Angiospermae,Grossulariaceae,Ribes,lacustre,"",Ribes lacustre ,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","","",""
Angiospermae,Saxifragaceae,"","","",  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",67
Angiospermae,Saxifragaceae,Boykinia,"","",Boykinia  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5001,"",""
Angiospermae,Saxifragaceae,Boykinia,richardsonii,"",Boykinia richardsonii ,-,-,-,-,s,f,?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,F,1,"","","","","","","","",1,""
Angiospermae,Saxifragaceae,Heuchera,"","",Heuchera  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5002,"",""
Angiospermae,Saxifragaceae,Heuchera,glabra,"",Heuchera glabra ,-,-,-,-,b,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",1,""
Angiospermae,Saxifragaceae,Mitella,"","",Mitella  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5003,"",""
Angiospermae,Saxifragaceae,Mitella,nuda,"",Mitella nuda ,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,1,"","","","","","","","",1,""
Angiospermae,Saxifragaceae,Leptarrhena,"","",Leptarrhena  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5004,"",""
Angiospermae,Saxifragaceae,Leptarrhena,pyrolifolia,"",Leptarrhena pyrolifolia ,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,F,1,"",1,"","","","","","",1,""
Angiospermae,Saxifragaceae,Chrysosplenium,"","",Chrysosplenium  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5005,"",""
Angiospermae,Saxifragaceae,Chrysosplenium,rimosum,"",Chrysosplenium rimosum ,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,1,"","","","","","","","",7,""
Angiospermae,Saxifragaceae,Chrysosplenium,wrightii,"",Chrysosplenium wrightii ,r,f,r,r,s,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,F,F,1,"","","","","","","","","",""
Angiospermae,Saxifragaceae,Chrysosplenium,alternifolium,alternifolium,Chrysosplenium alternifolium alternifolium,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,b,S,1,"",1,"","","","","","","",""
Angiospermae,Saxifragaceae,Chrysosplenium,alternifolium,sibiricum,Chrysosplenium alternifolium sibiricum,f,r,r,-,-,-,-,-,-,-,-,-,-,-,s,s,s,f,f,f,f,-,-,R,S,F,F,1,"","","","","","","","","",""
Angiospermae,Saxifragaceae,Chrysosplenium,alternifolium,arctomontanum,Chrysosplenium alternifolium arctomontanum,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,?,-,-,-,-,-,S,R,1,"","","","","","","","","",""
Angiospermae,Saxifragaceae,Chrysosplenium,tetrandrum,"",Chrysosplenium tetrandrum ,f,r,s,f,f,f,f,f,r,-,r,-,s,f,s,s,r,r,-,-,r,-,S,F,F,F,S,1,"","","","","","","","","",""
Angiospermae,Saxifragaceae,Chrysosplenium,rosendahlii,"",Chrysosplenium rosendahlii ,-,r,-,-,-,r,s,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,S,R,-,1,1,"","","","","","","","",""
Angiospermae,Saxifragaceae,Saxifraga,"","",Saxifraga  ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5006,"",""
